Layers,Complexity,MSE Train,MSE Future,MSE Past,MSE Train and Test
"(7, 8, 7, 7, 9, 1)",265,0.07888998836278915,0.3686540424823761,0.09873881191015244,0.1300843060016632
"(7, 8, 20, 1)",265,0.07773573696613313,0.19633527100086207,0.09398173540830612,0.0986892431974411
"(7, 7, 8, 7, 9, 1)",265,0.07893367111682892,0.3046272993087769,0.10058020055294037,0.1188082918524742
"(7, 11, 8, 8, 1)",265,0.07722130417823793,0.4237709939479828,0.09295804053544998,0.13844825327396393
"(7, 7, 7, 17, 1)",266,0.07679969072341919,0.2677101492881775,0.10493668913841248,0.11052890121936798
"(7, 7, 13, 7, 1)",266,0.07901619374752045,0.4795524477958679,0.1029474288225174,0.14978112280368805
"(7, 10, 7, 12, 1)",266,0.07984054833650589,0.2493609040975571,0.1037025973200798,0.10979074239730836
"(7, 13, 7, 7, 1)",266,0.07611619681119919,0.2552335560321808,0.09809336811304092,0.10776180773973464
"(7, 8, 8, 13, 1)",267,0.0794524997472763,0.2350512593984604,0.09768706560134888,0.10694298893213272
"(7, 8, 9, 11, 1)",267,0.07684535533189774,0.2954952716827393,0.09958983212709427,0.11547539383172988
"(7, 7, 7, 8, 9, 1)",267,0.07953700423240663,0.28343483805656433,0.10088682174682616,0.11556081473827362
"(7, 10, 9, 8, 1)",268,0.07530379295349121,0.1938515156507492,0.10267656296491624,0.09624829143285753
"(7, 7, 7, 7, 11, 1)",268,0.0782644972205162,0.2655605971813202,0.0994950905442238,0.11135512590408324
"(7, 8, 11, 8, 1)",268,0.07452389597892761,0.2699090242385864,0.1083678975701332,0.10904361307621002
"(7, 9, 10, 8, 1)",269,0.08038042485713959,0.39439907670021057,0.10263023525476456,0.13585975766181946
"(7, 9, 7, 14, 1)",269,0.07772061973810196,0.1975360959768296,0.09812536090612413,0.0988890528678894
"(7, 10, 8, 10, 1)",269,0.07937630265951158,0.21856039762496948,0.09732707589864732,0.10396669805049896
"(7, 12, 7, 9, 1)",269,0.07666618376970291,0.28882020711898804,0.1061176061630249,0.11414854228496553
"(7, 7, 10, 11, 1)",269,0.07549522072076797,0.2790508270263672,0.09822376817464827,0.11145836114883424
"(7, 13, 11, 1)",270,0.07238626480102539,0.324455589056015,0.09749596565961838,0.11692067980766295
"(7, 17, 7, 1)",270,0.07801718264818193,0.21753889322280884,0.09490609169006348,0.10266727954149246
"(7, 8, 12, 7, 1)",271,0.07864551991224289,0.2614259719848633,0.09584783017635344,0.11093832552433014
"(7, 12, 8, 7, 1)",271,0.07874033600091934,0.35096383094787603,0.09961632639169693,0.12683552503585815
"(7, 9, 7, 7, 8, 1)",271,0.07609176635742188,0.23424364626407626,0.09821903705596924,0.1040334403514862
"(7, 7, 9, 7, 8, 1)",271,0.07465828955173492,0.3714908063411713,0.10028240084648132,0.12710125744342804
"(7, 7, 8, 15, 1)",271,0.07582252472639084,0.20126940310001373,0.0964452549815178,0.09798599779605864
"(7, 9, 18, 1)",271,0.07580509036779404,0.2582867741584778,0.10346079617738724,0.10804513841867447
"(7, 11, 14, 1)",271,0.07624131441116333,0.3356529176235199,0.09175045788288116,0.12207299470901488
"(7, 11, 7, 11, 1)",272,0.07798749208450317,0.2498520016670227,0.09186221659183502,0.10835171490907668
