Layers,Complexity,MSE Train,MSE Future,MSE Past,MSE Train and Test
"(7, 2, 1, 5, 1, 3, 1)",45,0.30265292525291443,0.2557256817817688,0.10445760935544968,0.3776160478591919
"(7, 2, 1, 3, 1, 5, 1)",45,0.2981473207473755,0.2112385481595993,0.052442681044340134,0.3559601902961731
"(7, 2, 4, 1, 3, 1, 1)",45,0.29960742592811584,0.15275712311267853,0.03528933599591255,0.3780909776687622
"(7, 3, 1, 3, 1, 2, 1)",45,0.3042009472846985,0.29220280051231384,0.0678047314286232,0.4275564253330231
"(7, 3, 2, 2, 1, 1, 1)",45,0.3023596405982971,0.5297602415084839,0.06089435517787933,0.4377005696296692
"(7, 4, 2, 1)",45,0.3111330568790436,0.3134244382381439,0.0561327189207077,0.3957560956478119
"(7, 2, 3, 1, 5, 1)",45,0.317138135433197,0.1761738508939743,0.07936269044876099,0.3663089871406555
"(7, 3, 1, 2, 3, 1)",45,0.2972457408905029,0.18318261206150047,0.04738639667630196,0.3853730857372284
"(7, 3, 1, 1, 4, 1, 1)",45,0.3085974156856537,0.18729311227798465,0.0520189106464386,0.3589155375957489
"(7, 3, 1, 4, 1, 1, 1)",45,0.308781236410141,0.2612448036670685,0.05853912979364395,0.3613881468772888
"(7, 3, 2, 1, 3, 1)",45,0.3005587160587311,0.19627444446086886,0.03858771547675133,0.3958257734775543
"(7, 4, 1, 1, 1, 1, 1)",45,0.3084997832775116,0.3966087102890015,0.04820634424686432,0.4227531850337982
"(7, 3, 4, 1)",45,0.29774510860443115,0.2215261310338974,0.06663688272237778,0.3943248987197876
"(7, 3, 1, 3, 2, 1)",45,0.3179774880409241,0.2026077508926392,0.09820833802223206,0.4227754771709442
"(7, 2, 7, 1)",45,0.3203408420085907,0.5005123019218445,0.0325533039867878,0.4504929780960083
"(7, 2, 1, 6, 1, 2, 1)",45,0.2993939220905304,0.32291945815086365,0.04836402088403702,0.35717567801475525
"(7, 3, 2, 3, 1)",45,0.29640665650367737,0.2941705584526062,0.06675396859645844,0.4534190893173218
"(7, 2, 2, 1, 6, 1, 1)",46,0.3019058108329773,0.25849467515945435,0.03726402297616005,0.3997611403465271
"(7, 2, 1, 2, 5, 1, 1)",46,0.30531033873558044,0.2658117413520813,0.04105279222130776,0.3954823911190033
"(7, 4, 1, 2, 1, 1)",46,0.3119895160198212,0.19892176985740664,0.18946610391139984,0.556048572063446
"(7, 2, 2, 1, 1, 6, 1)",46,0.3111036717891693,0.3473302721977234,0.06853514909744263,0.4473951458930969
"(7, 2, 3, 2, 3, 1)",46,0.33200165629386896,0.2678678333759308,0.051752906292676926,0.42016759514808655
"(7, 3, 3, 1, 1, 1, 1)",46,0.31416088342666626,0.1838347166776657,0.28512677550315857,0.6539196372032166
"(7, 3, 1, 1, 5, 1)",46,0.2916006147861481,0.3014475107192993,0.04783384501934052,0.35825514793396
"(7, 2, 2, 1, 4, 2, 1)",46,0.30797553062438965,0.2802751660346985,0.04661659896373749,0.3533864319324493
